Timestamp,Temperature,Temperature_setpoint,Temperature_error,Temperature_PID_output,Temperature_Kp,Temperature_Ki,Temperature_Kd,Timestamp (s),Diameter,Diameter_setpoint,Fan_duty_cycle,Extruder_RPM,Spooler_setpoint,Spooler_RPM,Spooler_Kp,Spooler_Ki,Spooler_Kd
92.793,82.09697159,90,9.569851037,22.19674536,2,0.001,0.05,1743096702,0,0.35,30,0.1,30,28.8685317,0.8,0.25,0.02
93.077,82.34654897,90,8.986427675,20.9871372,2,0.001,0.05,1743096702,0,0.35,30,0.1,30,29.0666426,0.8,0.25,0.02
93.349,75.27693682,90,9.369846972,21.92983841,2,0.001,0.05,1743096703,0,0.35,30,0.1,30,28.99670246,0.8,0.25,0.02
93.624,82.84632085,90,9.070881642,21.20963951,2,0.001,0.05,1743096703,0,0.35,30,0.1,30,28.52407203,0.8,0.25,0.02
93.901,83.47423345,90,8.758759254,20.58576945,2,0.001,0.05,1743096703,0,0.35,30,0.1,30,30.37984884,0.8,0.25,0.02
94.196,83.47423345,90,8.459053904,19.99445876,2,0.001,0.05,1743096703,0,0.35,30,0.1,30,31.17553549,0.8,0.25,0.02
94.474,94.73111755,90,7.083365205,17.0489417,2,0.001,0.05,1743096703,0,0.35,30,0.1,30,32.18785287,0.8,0.25,0.02
94.756,82.34654897,90,6.996096743,17.10779815,2,0.001,0.05,1743096704,0,0.35,30,0.1,30,30.97125944,0.8,0.25,0.02
95.034,83.72502832,90,6.770980348,16.63450076,2,0.001,0.05,1743096704,0,0.35,30,0.1,30,30.01574205,0.8,0.25,0.02
95.32,84.47892818,90,6.520313186,16.13156377,2,0.001,0.05,1743096704,0,0.35,30,0.1,30,28.99723171,0.8,0.25,0.02
95.615,84.35311446,90,6.294698899,15.68786498,2,0.001,0.05,1743096704,0,0.35,30,0.1,30,27.66557208,0.8,0.25,0.02
